Word = frowning, Frequency = 4
Word = felt, Frequency = 23
Word = invited, Frequency = 2
Word = lobster, Frequency = 7
Word = wont, Frequency = 24
Word = finding, Frequency = 3
Word = conquest, Frequency = 1
Word = look, Frequency = 28
Word = fits, Frequency = 1
Word = breadandbutter, Frequency = 5
Word = flying, Frequency = 1
Word = guessed, Frequency = 3
Word = judging, Frequency = 1
Word = staring, Frequency = 3
Word = yawning, Frequency = 2
Word = sighing, Frequency = 3
Word = thatll, Frequency = 1
Word = kills, Frequency = 1
Word = allow, Frequency = 3
Word = loudly, Frequency = 3
Word = soothing, Frequency = 1
Word = reasons, Frequency = 1
Word = knock, Frequency = 1
Word = itsits, Frequency = 1
Word = father, Frequency = 6
Word = drawlingthe, Frequency = 1
Word = jumped, Frequency = 6
Word = proper, Frequency = 3
Word = rule, Frequency = 5
Word = condemn, Frequency = 1
Word = thatit, Frequency = 1
Word = ifif, Frequency = 1
Word = beast, Frequency = 1
Word = vegetable, Frequency = 1
Word = speed, Frequency = 1
Word = bats, Frequency = 4
Word = recognised, Frequency = 1
Word = common, Frequency = 1
Word = interest, Frequency = 1
Word = rabbitspat, Frequency = 1
Word = wants, Frequency = 2
Word = wonder, Frequency = 18
Word = sleepy, Frequency = 5
Word = sneeze, Frequency = 2
Word = isbe, Frequency = 1
Word = canary, Frequency = 1
Word = answered, Frequency = 4
Word = growls, Frequency = 1
Word = mary, Frequency = 4
Word = histories, Frequency = 1
Word = sands, Frequency = 1
Word = eagerly, Frequency = 8
Word = disagree, Frequency = 1
Word = disgust, Frequency = 1
Word = mark, Frequency = 3
Word = folding, Frequency = 1
Word = axes, Frequency = 1
Word = voiceshold, Frequency = 1
Word = sharks, Frequency = 1
Word = stamping, Frequency = 2
Word = fair, Frequency = 1
Word = elsebut, Frequency = 1
Word = shillings, Frequency = 1
Word = grammar, Frequency = 1
Word = lost, Frequency = 3
Word = games, Frequency = 2
Word = otherbill, Frequency = 1
Word = obstacle, Frequency = 1
Word = slate, Frequency = 2
Word = attempts, Frequency = 1
Word = comfits, Frequency = 2
Word = worm, Frequency = 1
Word = work, Frequency = 8
Word = lose, Frequency = 1
Word = reduced, Frequency = 1
Word = dressed, Frequency = 1
Word = cattle, Frequency = 1
Word = agree, Frequency = 2
Word = doors, Frequency = 2
Word = gardenhow, Frequency = 1
Word = books, Frequency = 1
Word = knowing, Frequency = 2
Word = outoftheway, Frequency = 3
Word = lory, Frequency = 7
Word = dormouse, Frequency = 39
Word = wore, Frequency = 1
Word = word, Frequency = 10
Word = love, Frequency = 3
Word = flock, Frequency = 1
Word = tongue, Frequency = 4
Word = hoped, Frequency = 1
Word = iii, Frequency = 1
Word = forehead, Frequency = 2
Word = enjoy, Frequency = 1
Word = secret, Frequency = 1
Word = birds, Frequency = 9
Word = iim, Frequency = 1
Word = pictures, Frequency = 4
Word = theyyouve, Frequency = 1
Word = throwing, Frequency = 2
Word = fall, Frequency = 7
Word = frontispiece, Frequency = 1
Word = ear, Frequency = 6
Word = ridges, Frequency = 1
Word = writing, Frequency = 4
Word = rushed, Frequency = 1
Word = eat, Frequency = 18
Word = carroll, Frequency = 1
Word = leastat, Frequency = 1
Word = boldly, Frequency = 1
Word = thinand, Frequency = 1
Word = believed, Frequency = 1
Word = flurry, Frequency = 1
Word = pictured, Frequency = 1
Word = finger, Frequency = 5
Word = loud, Frequency = 6
Word = swallow, Frequency = 1
Word = caused, Frequency = 2
Word = poolshe, Frequency = 1
Word = crashnow, Frequency = 1
Word = rattling, Frequency = 2
Word = haste, Frequency = 1
Word = nice, Frequency = 6
Word = opinion, Frequency = 1
Word = altogether, Frequency = 5
Word = appearance, Frequency = 1
Word = soldier, Frequency = 1
Word = wings, Frequency = 1
Word = thump, Frequency = 2
Word = cutting, Frequency = 1
Word = marchjust, Frequency = 1
Word = forgot, Frequency = 2
Word = upsetting, Frequency = 1
Word = insult, Frequency = 1
Word = voice, Frequency = 47
Word = existence, Frequency = 1
Word = appealed, Frequency = 1
Word = axis, Frequency = 1
Word = graceful, Frequency = 1
Word = tight, Frequency = 1
Word = frog, Frequency = 2
Word = spite, Frequency = 1
Word = subdued, Frequency = 1
Word = poky, Frequency = 1
Word = expecting, Frequency = 3
Word = spell, Frequency = 1
Word = caucusrace, Frequency = 3
Word = pebbles, Frequency = 2
Word = bottom, Frequency = 4
Word = ill, Frequency = 33
Word = finished, Frequency = 12
Word = coward, Frequency = 1
Word = fading, Frequency = 1
Word = squeezed, Frequency = 1
Word = lizards, Frequency = 1
Word = sulky, Frequency = 3
Word = speaker, Frequency = 1
Word = dinah, Frequency = 11
Word = death, Frequency = 1
Word = advice, Frequency = 2
Word = winter, Frequency = 1
Word = eel, Frequency = 1
Word = doori, Frequency = 1
Word = sternly, Frequency = 1
Word = holding, Frequency = 3
Word = moments, Frequency = 2
Word = paper, Frequency = 4
Word = walking, Frequency = 5
Word = knuckles, Frequency = 1
Word = clubs, Frequency = 1
Word = listening, Frequency = 3
Word = grave, Frequency = 3
Word = advantage, Frequency = 3
Word = dainties, Frequency = 1
Word = ink, Frequency = 1
Word = tricks, Frequency = 1
Word = sisters, Frequency = 2
Word = rush, Frequency = 2
Word = whispered, Frequency = 5
Word = itonce, Frequency = 1
Word = dears, Frequency = 3
Word = crept, Frequency = 1
Word = stolen, Frequency = 1
Word = gravy, Frequency = 1
Word = irritated, Frequency = 1
Word = slightest, Frequency = 1
Word = pope, Frequency = 1
Word = vague, Frequency = 1
Word = hands, Frequency = 12
Word = egg, Frequency = 1
Word = importantunimportant, Frequency = 1
Word = desperate, Frequency = 1
Word = thimble, Frequency = 4
Word = leading, Frequency = 1
Word = branch, Frequency = 1
Word = mousea, Frequency = 1
Word = setting, Frequency = 1
Word = favoured, Frequency = 1
Word = music, Frequency = 3
Word = saves, Frequency = 1
Word = poor, Frequency = 27
Word = gallons, Frequency = 1
Word = vii, Frequency = 1
Word = neat, Frequency = 1
Word = schoolroom, Frequency = 1
Word = silence, Frequency = 14
Word = sorts, Frequency = 3
Word = moving, Frequency = 3
Word = ran, Frequency = 16
Word = invented, Frequency = 1
Word = grief, Frequency = 1
Word = ashamed, Frequency = 2
Word = marched, Frequency = 1
Word = excellent, Frequency = 2
Word = unlocking, Frequency = 1
Word = fairly, Frequency = 1
Word = pool, Frequency = 10
Word = handwriting, Frequency = 1
Word = raw, Frequency = 1
Word = hatters, Frequency = 2
Word = fancying, Frequency = 1
Word = crossly, Frequency = 1
Word = shaking, Frequency = 3
Word = hurried, Frequency = 11
Word = planning, Frequency = 1
Word = persons, Frequency = 1
Word = charges, Frequency = 1
Word = grazed, Frequency = 1
Word = guess, Frequency = 3
Word = mouseo, Frequency = 1
Word = happening, Frequency = 1
Word = mouses, Frequency = 1
Word = folded, Frequency = 3
Word = consented, Frequency = 1
Word = isnt, Frequency = 7
Word = dormouses, Frequency = 1
Word = throat, Frequency = 2
Word = nile, Frequency = 1
Word = wouldnt, Frequency = 13
Word = swimming, Frequency = 2
Word = hungry, Frequency = 3
Word = gazing, Frequency = 1
Word = stretched, Frequency = 2
Word = retire, Frequency = 1
Word = variations, Frequency = 1
Word = mousetraps, Frequency = 1
Word = close, Frequency = 13
Word = himit, Frequency = 1
Word = curled, Frequency = 2
Word = linked, Frequency = 1
Word = toes, Frequency = 3
Word = flavour, Frequency = 1
Word = fourteenth, Frequency = 1
Word = learn, Frequency = 7
Word = pulled, Frequency = 1
Word = growled, Frequency = 1
Word = steamengine, Frequency = 1
Word = signify, Frequency = 1
Word = neck, Frequency = 7
Word = teaparty, Frequency = 2
Word = ridiculous, Frequency = 1
Word = fast, Frequency = 4
Word = executions, Frequency = 2
Word = trials, Frequency = 4
Word = calling, Frequency = 1
Word = andoh, Frequency = 2
Word = addressing, Frequency = 1
Word = couple, Frequency = 1
Word = offended, Frequency = 10
Word = eager, Frequency = 3
Word = evidence, Frequency = 7
Word = moved, Frequency = 5
Word = fortunately, Frequency = 1
Word = red, Frequency = 2
Word = whats, Frequency = 5
Word = act, Frequency = 1
Word = cupboards, Frequency = 2
Word = leave, Frequency = 9
Word = duck, Frequency = 4
Word = repeating, Frequency = 3
Word = finish, Frequency = 5
Word = helped, Frequency = 1
Word = knave, Frequency = 9
Word = signifies, Frequency = 1
Word = cakes, Frequency = 3
Word = serpent, Frequency = 9
Word = forepaws, Frequency = 1
Word = ada, Frequency = 1
Word = faint, Frequency = 1
Word = dreaming, Frequency = 1
Word = educationsin, Frequency = 1
Word = wrote, Frequency = 3
Word = shade, Frequency = 1
Word = wrapping, Frequency = 1
Word = newspapers, Frequency = 1
Word = gather, Frequency = 1
Word = helpless, Frequency = 1
Word = respect, Frequency = 1
Word = sobbing, Frequency = 3
Word = kindly, Frequency = 2
Word = seaography, Frequency = 1
Word = isoh, Frequency = 2
Word = ache, Frequency = 1
Word = shell, Frequency = 3
Word = skyrocket, Frequency = 1
Word = yawned, Frequency = 2
Word = begged, Frequency = 1
Word = loose, Frequency = 1
Word = panther, Frequency = 3
Word = crawling, Frequency = 1
Word = indignant, Frequency = 1
Word = rises, Frequency = 1
Word = ornamented, Frequency = 2
Word = turtles, Frequency = 4
Word = chimney, Frequency = 5
Word = rathole, Frequency = 1
Word = scrambling, Frequency = 1
Word = smallest, Frequency = 2
Word = complained, Frequency = 1
Word = soldiers, Frequency = 10
Word = morals, Frequency = 1
Word = miles, Frequency = 3
Word = desperately, Frequency = 1
Word = prevent, Frequency = 1
Word = undo, Frequency = 1
Word = brighteyed, Frequency = 1
Word = sorry, Frequency = 1
Word = ive, Frequency = 34
Word = bills, Frequency = 3
Word = inkstand, Frequency = 1
Word = lines, Frequency = 1
Word = lizard, Frequency = 5
Word = magpie, Frequency = 1
Word = mistake, Frequency = 3
Word = rich, Frequency = 1
Word = label, Frequency = 2
Word = slippery, Frequency = 1
Word = contempt, Frequency = 1
Word = truth, Frequency = 1
Word = family, Frequency = 1
Word = happens, Frequency = 5
Word = queerlooking, Frequency = 1
Word = age, Frequency = 4
Word = crab, Frequency = 3
Word = yetits, Frequency = 1
Word = shoulders, Frequency = 4
Word = smaller, Frequency = 3
Word = called, Frequency = 15
Word = shouldnt, Frequency = 5
Word = told, Frequency = 6
Word = ago, Frequency = 2
Word = arithmetic, Frequency = 1
Word = theyve, Frequency = 1
Word = fishes, Frequency = 1
Word = years, Frequency = 1
Word = skurried, Frequency = 1
Word = turns, Frequency = 3
Word = moral, Frequency = 8
Word = number, Frequency = 5
Word = tried, Frequency = 19
Word = disappointment, Frequency = 1
Word = fishand, Frequency = 1
Word = deepest, Frequency = 1
Word = youare, Frequency = 1
Word = brave, Frequency = 1
Word = narrow, Frequency = 2
Word = judge, Frequency = 4
Word = somersault, Frequency = 1
Word = darkness, Frequency = 1
Word = shorter, Frequency = 2
Word = eggs, Frequency = 5
Word = eyesand, Frequency = 1
Word = shape, Frequency = 1
Word = uglify, Frequency = 1
Word = refreshments, Frequency = 1
Word = whistle, Frequency = 1
Word = ennyworth, Frequency = 1
Word = hedgehog, Frequency = 7
Word = camomile, Frequency = 1
Word = spot, Frequency = 1
Word = crossed, Frequency = 3
Word = tone, Frequency = 40
Word = aim, Frequency = 1
Word = uncommonly, Frequency = 1
Word = doubling, Frequency = 1
Word = air, Frequency = 14
Word = holiday, Frequency = 1
Word = courage, Frequency = 3
Word = asked, Frequency = 17
Word = knowno, Frequency = 1
Word = encourage, Frequency = 1
Word = speak, Frequency = 14
Word = share, Frequency = 1
Word = punished, Frequency = 1
Word = puffed, Frequency = 1
Word = elegant, Frequency = 1
Word = shark, Frequency = 1
Word = wriggling, Frequency = 1
Word = thoroughly, Frequency = 2
Word = filled, Frequency = 3
Word = stigand, Frequency = 1
Word = sharp, Frequency = 6
Word = rosetree, Frequency = 4
Word = removed, Frequency = 2
Word = awfully, Frequency = 1
Word = groundand, Frequency = 1
Word = spades, Frequency = 1
Word = atom, Frequency = 2
Word = royal, Frequency = 2
Word = theyre, Frequency = 13
Word = shed, Frequency = 2
Word = esq, Frequency = 1
Word = shake, Frequency = 1
Word = est, Frequency = 1
Word = hoarsely, Frequency = 1
Word = tops, Frequency = 1
Word = themall, Frequency = 1
Word = drawlingmaster, Frequency = 1
Word = body, Frequency = 2
Word = trial, Frequency = 7
Word = carthorse, Frequency = 1
Word = withina, Frequency = 1
Word = tucked, Frequency = 3
Word = snout, Frequency = 1
Word = entrance, Frequency = 1
Word = nasty, Frequency = 1
Word = took, Frequency = 24
Word = catching, Frequency = 2
Word = read, Frequency = 11
Word = remedies, Frequency = 1
Word = yelp, Frequency = 1
Word = touch, Frequency = 1
Word = brass, Frequency = 1
Word = real, Frequency = 3
Word = clock, Frequency = 2
Word = couples, Frequency = 1
Word = neednt, Frequency = 3
Word = alas, Frequency = 4
Word = tremulous, Frequency = 1
Word = themand, Frequency = 2
Word = mock, Frequency = 56
Word = jumping, Frequency = 4
Word = reaching, Frequency = 1
Word = quiver, Frequency = 1
Word = flamingoes, Frequency = 2
Word = dreamy, Frequency = 1
Word = running, Frequency = 8
Word = yetand, Frequency = 1
Word = grunt, Frequency = 1
Word = today, Frequency = 4
Word = whispers, Frequency = 1
Word = gardeners, Frequency = 8
Word = saying, Frequency = 15
Word = row, Frequency = 2
Word = declared, Frequency = 1
Word = ann, Frequency = 4
Word = fifteen, Frequency = 1
Word = louder, Frequency = 1
Word = guilt, Frequency = 1
Word = nowbut, Frequency = 1
Word = thenalways, Frequency = 1
Word = looked, Frequency = 45
Word = lewis, Frequency = 1
Word = pencil, Frequency = 1
Word = guineapig, Frequency = 2
Word = minute, Frequency = 21
Word = youall, Frequency = 1
Word = glovesthat, Frequency = 1
Word = fender, Frequency = 1
Word = shes, Frequency = 7
Word = shant, Frequency = 6
Word = whisper, Frequency = 3
Word = queens, Frequency = 8
Word = muttering, Frequency = 3
Word = dull, Frequency = 3
Word = teases, Frequency = 1
Word = toto, Frequency = 1
Word = reason, Frequency = 9
Word = merrily, Frequency = 1
Word = thought, Frequency = 74
Word = ring, Frequency = 2
Word = taste, Frequency = 2
Word = barking, Frequency = 1
Word = angrily, Frequency = 9
Word = decided, Frequency = 3
Word = accusation, Frequency = 1
Word = tumbling, Frequency = 2
Word = cake, Frequency = 3
Word = pounds, Frequency = 1
Word = andbutter, Frequency = 1
Word = english, Frequency = 6
Word = jar, Frequency = 2
Word = zealand, Frequency = 1
Word = shoulder, Frequency = 4
Word = dance, Frequency = 13
Word = jaw, Frequency = 1
Word = broke, Frequency = 2
Word = remain, Frequency = 1
Word = expected, Frequency = 1
Word = voices, Frequency = 1
Word = everythings, Frequency = 2
Word = lazily, Frequency = 1
Word = toss, Frequency = 1
Word = eye, Frequency = 7
Word = mystery, Frequency = 2
Word = wanted, Frequency = 4
Word = duchess, Frequency = 38
Word = glaring, Frequency = 1
Word = turkey, Frequency = 1
Word = gently, Frequency = 3
Word = letter, Frequency = 3
Word = fishfootman, Frequency = 2
Word = deserved, Frequency = 1
Word = telescope, Frequency = 3
Word = succeeded, Frequency = 3
Word = argued, Frequency = 1
Word = thistle, Frequency = 2
Word = handed, Frequency = 3
Word = worth, Frequency = 4
Word = cried, Frequency = 20
Word = notion, Frequency = 3
Word = permitted, Frequency = 1
Word = patience, Frequency = 1
Word = mournful, Frequency = 1
Word = arm, Frequency = 12
Word = broken, Frequency = 6
Word = shinglewill, Frequency = 1
Word = jaws, Frequency = 2
Word = poison, Frequency = 3
Word = curly, Frequency = 1
Word = noticed, Frequency = 8
Word = nest, Frequency = 1
Word = suppress, Frequency = 1
Word = fitted, Frequency = 1
Word = curls, Frequency = 1
Word = bowed, Frequency = 4
Word = call, Frequency = 9
Word = recovered, Frequency = 2
Word = theyll, Frequency = 4
Word = kick, Frequency = 3
Word = splashing, Frequency = 2
Word = partners, Frequency = 1
Word = ask, Frequency = 11
Word = cornerno, Frequency = 1
Word = livery, Frequency = 3
Word = knelt, Frequency = 1
Word = derision, Frequency = 1
Word = understood, Frequency = 1
Word = thatonly, Frequency = 1
Word = longed, Frequency = 2
Word = forwards, Frequency = 1
Word = swallowing, Frequency = 1
Word = presently, Frequency = 2
Word = strength, Frequency = 1
Word = officer, Frequency = 1
Word = cant, Frequency = 28
Word = run, Frequency = 4
Word = occasional, Frequency = 1
Word = repeated, Frequency = 10
Word = jurors, Frequency = 4
Word = mouse, Frequency = 38
Word = lowing, Frequency = 1
Word = forgetting, Frequency = 3
Word = ate, Frequency = 1
Word = white, Frequency = 30
Word = sounded, Frequency = 5
Word = houses, Frequency = 1
Word = frogfootman, Frequency = 1
Word = executiononce, Frequency = 1
Word = piteous, Frequency = 1
Word = curtsey, Frequency = 1
Word = worry, Frequency = 1
Word = adventuresbeginning, Frequency = 1
Word = exclaimed, Frequency = 6
Word = mallets, Frequency = 1
Word = cucumberframe, Frequency = 1
Word = imagine, Frequency = 2
Word = draggled, Frequency = 1
Word = suet, Frequency = 1
Word = lifted, Frequency = 1
Word = girl, Frequency = 4
Word = sharing, Frequency = 1
Word = yards, Frequency = 1
Word = screaming, Frequency = 1
Word = difficulty, Frequency = 4
Word = watched, Frequency = 2
Word = affectionately, Frequency = 1
Word = trumpet, Frequency = 3
Word = name, Frequency = 10
Word = aloud, Frequency = 5
Word = thunderstorm, Frequency = 1
Word = leaving, Frequency = 1
Word = beheaded, Frequency = 3
Word = trotting, Frequency = 2
Word = crocodile, Frequency = 1
Word = boon, Frequency = 1
Word = grins, Frequency = 1
Word = jurybox, Frequency = 4
Word = distance, Frequency = 7
Word = uncorked, Frequency = 1
Word = absence, Frequency = 1
Word = book, Frequency = 7
Word = edition, Frequency = 1
Word = snatch, Frequency = 2
Word = conclusion, Frequency = 2
Word = barrowful, Frequency = 2
Word = gloves, Frequency = 10
Word = twinkled, Frequency = 1
Word = hurriedly, Frequency = 2
Word = crying, Frequency = 2
Word = stupidly, Frequency = 1
Word = lived, Frequency = 3
Word = wag, Frequency = 1
Word = faintly, Frequency = 1
Word = undoing, Frequency = 1
Word = simplynever, Frequency = 1
Word = chimneynay, Frequency = 1
Word = severity, Frequency = 1
Word = seehow, Frequency = 1
Word = pinch, Frequency = 2
Word = thoughts, Frequency = 2
Word = toys, Frequency = 1
Word = racecourse, Frequency = 1
Word = vanished, Frequency = 4
Word = green, Frequency = 4
Word = race, Frequency = 2
Word = resting, Frequency = 2
Word = learned, Frequency = 1
Word = introduce, Frequency = 2
Word = bone, Frequency = 1
Word = suddenly, Frequency = 13
Word = grew, Frequency = 1
Word = grey, Frequency = 1
Word = sensation, Frequency = 2
Word = mouth, Frequency = 10
Word = nervous, Frequency = 5
Word = window, Frequency = 8
Word = attempted, Frequency = 1
Word = flame, Frequency = 1
Word = rise, Frequency = 1
Word = panted, Frequency = 1
Word = play, Frequency = 8
Word = simpleton, Frequency = 1
Word = fancy, Frequency = 5
Word = commotion, Frequency = 1
Word = whistling, Frequency = 1
Word = quickly, Frequency = 2
Word = collected, Frequency = 2
Word = pleases, Frequency = 1
Word = fan, Frequency = 10
Word = anxious, Frequency = 3
Word = bythebye, Frequency = 1
Word = driest, Frequency = 1
Word = fat, Frequency = 1
Word = catch, Frequency = 3
Word = morsel, Frequency = 1
Word = severely, Frequency = 4
Word = reedsthe, Frequency = 1
Word = plan, Frequency = 4
Word = thingseverything, Frequency = 1
Word = case, Frequency = 5
Word = promising, Frequency = 1
Word = waistcoatpocket, Frequency = 1
Word = ahem, Frequency = 1
Word = canvas, Frequency = 1
Word = lives, Frequency = 4
Word = viii, Frequency = 1
Word = depends, Frequency = 1
Word = hollow, Frequency = 1
Word = comfortably, Frequency = 1
Word = sprawling, Frequency = 1
Word = cackled, Frequency = 1
Word = sticks, Frequency = 1
Word = moon, Frequency = 1
Word = comfortable, Frequency = 1
Word = didnt, Frequency = 14
Word = prizes, Frequency = 5
Word = waist, Frequency = 1
Word = suit, Frequency = 3
Word = completely, Frequency = 1
Word = wearily, Frequency = 1
Word = care, Frequency = 4
Word = denial, Frequency = 1
Word = unimportantimportant, Frequency = 1
Word = entangled, Frequency = 2
Word = guard, Frequency = 1
Word = pattern, Frequency = 1
Word = settle, Frequency = 1
Word = fireplace, Frequency = 1
Word = couldnt, Frequency = 9
Word = pressing, Frequency = 1
Word = cushion, Frequency = 2
Word = modern, Frequency = 1
Word = flustered, Frequency = 1
Word = sentenced, Frequency = 1
Word = occasionally, Frequency = 1
Word = older, Frequency = 2
Word = bankthe, Frequency = 1
Word = coaxing, Frequency = 2
Word = relieved, Frequency = 1
Word = grin, Frequency = 6
Word = mischief, Frequency = 1
Word = rabbithole, Frequency = 3
Word = mercia, Frequency = 2
Word = wet, Frequency = 2
Word = heels, Frequency = 1
Word = usurpation, Frequency = 1
Word = dishes, Frequency = 2
Word = kill, Frequency = 1
Word = eyelids, Frequency = 1
Word = teanot, Frequency = 1
Word = happened, Frequency = 7
Word = bore, Frequency = 1
Word = beautifully, Frequency = 2
Word = wrong, Frequency = 5
Word = cats, Frequency = 15
Word = soand, Frequency = 1
Word = headbrandy, Frequency = 1
Word = pleased, Frequency = 7
Word = sides, Frequency = 4
Word = stockings, Frequency = 1
Word = heads, Frequency = 11
Word = accounts, Frequency = 1
Word = wondered, Frequency = 1
Word = stuff, Frequency = 4
Word = shut, Frequency = 5
Word = diamonds, Frequency = 1
Word = bookshelves, Frequency = 1
Word = minded, Frequency = 1
Word = eleventh, Frequency = 1
Word = choking, Frequency = 1
Word = mustard, Frequency = 2
Word = presented, Frequency = 1
Word = whiles, Frequency = 1
Word = canterbury, Frequency = 1
Word = marked, Frequency = 6
Word = england, Frequency = 1
Word = interrupting, Frequency = 2
Word = king, Frequency = 61
Word = nearer, Frequency = 5
Word = slates, Frequency = 7
Word = laughed, Frequency = 2
Word = opened, Frequency = 10
Word = inwards, Frequency = 1
Word = bitterandand, Frequency = 1
Word = pleasing, Frequency = 1
Word = madat, Frequency = 1
Word = produced, Frequency = 1
Word = flamingo, Frequency = 5
Word = bones, Frequency = 1
Word = hung, Frequency = 1
Word = effect, Frequency = 3
Word = atheling, Frequency = 1
Word = solemn, Frequency = 3
Word = screamed, Frequency = 4
Word = eaten, Frequency = 1
Word = choked, Frequency = 3
Word = daughter, Frequency = 1
Word = sugar, Frequency = 1
Word = game, Frequency = 12
Word = pretending, Frequency = 1
Word = maynt, Frequency = 1
Word = remark, Frequency = 10
Word = died, Frequency = 1
Word = denies, Frequency = 1
Word = dayschool, Frequency = 1
Word = thenbills, Frequency = 1
Word = rearing, Frequency = 1
Word = tortoise, Frequency = 3
Word = writingdesks, Frequency = 1
Word = wig, Frequency = 2
Word = sad, Frequency = 3
Word = hottempered, Frequency = 1
Word = itll, Frequency = 8
Word = mentioned, Frequency = 3
Word = win, Frequency = 1
Word = sheep, Frequency = 1
Word = rest, Frequency = 10
Word = move, Frequency = 3
Word = butter, Frequency = 3
Word = sat, Frequency = 17
Word = earnestly, Frequency = 2
Word = terrier, Frequency = 1
Word = spread, Frequency = 3
Word = leant, Frequency = 1
Word = oclock, Frequency = 3
Word = oyster, Frequency = 1
Word = matters, Frequency = 2
Word = guests, Frequency = 3
Word = shiny, Frequency = 1
Word = visit, Frequency = 1
Word = denied, Frequency = 2
Word = oneself, Frequency = 1
Word = stupid, Frequency = 6
Word = pleasanter, Frequency = 1
Word = dipped, Frequency = 2
Word = bad, Frequency = 2
Word = fig, Frequency = 1
Word = bring, Frequency = 3
Word = luckily, Frequency = 2
Word = bag, Frequency = 1
Word = kiss, Frequency = 1
Word = fond, Frequency = 3
Word = losing, Frequency = 1
Word = offer, Frequency = 2
Word = fit, Frequency = 3
Word = familiarly, Frequency = 1
Word = hush, Frequency = 3
Word = bat, Frequency = 3
Word = fix, Frequency = 1
Word = honest, Frequency = 1
Word = trembled, Frequency = 2
Word = custard, Frequency = 1
Word = buttercup, Frequency = 1
Word = drowned, Frequency = 1
Word = adjourn, Frequency = 1
Word = grow, Frequency = 13
Word = sure, Frequency = 24
Word = shrink, Frequency = 1
Word = ah, Frequency = 5
Word = personal, Frequency = 2
Word = angry, Frequency = 5
Word = straightening, Frequency = 1
Word = submitted, Frequency = 1
Word = delay, Frequency = 1
Word = globe, Frequency = 1
Word = puppy, Frequency = 6
Word = turning, Frequency = 12
Word = looking, Frequency = 31
Word = applause, Frequency = 1
Word = patted, Frequency = 1
Word = drive, Frequency = 2
Word = hurt, Frequency = 3
Word = deal, Frequency = 12
Word = whos, Frequency = 1
Word = prove, Frequency = 1
Word = ordering, Frequency = 2
Word = childlife, Frequency = 1
Word = dead, Frequency = 4
Word = footmans, Frequency = 1
Word = eyes, Frequency = 27
Word = spokefancy, Frequency = 1
Word = sea, Frequency = 13
Word = proves, Frequency = 2
Word = claws, Frequency = 2
Word = proved, Frequency = 2
Word = search, Frequency = 1
Word = peeping, Frequency = 1
Word = sudden, Frequency = 5
Word = civil, Frequency = 3
Word = behead, Frequency = 1
Word = cardboard, Frequency = 1
Word = dear, Frequency = 29
Word = tumbled, Frequency = 1
Word = foot, Frequency = 10
Word = nodded, Frequency = 1
Word = purring, Frequency = 2
Word = set, Frequency = 14
Word = onions, Frequency = 1
Word = joined, Frequency = 3
Word = edgar, Frequency = 1
Word = quicker, Frequency = 1
Word = words, Frequency = 21
Word = uncivil, Frequency = 1
Word = lasted, Frequency = 2
Word = sneezes, Frequency = 2
Word = breathe, Frequency = 3
Word = writingdesk, Frequency = 1
Word = howled, Frequency = 1
Word = fly, Frequency = 3
Word = nowdont, Frequency = 1
Word = partner, Frequency = 1
Word = difficulties, Frequency = 1
Word = hadnt, Frequency = 8
Word = slateoh, Frequency = 1
Word = bed, Frequency = 1
Word = parchment, Frequency = 2
Word = bee, Frequency = 1
Word = beg, Frequency = 8
Word = tureen, Frequency = 1
Word = stairs, Frequency = 3
Word = bristling, Frequency = 1
Word = girls, Frequency = 3
Word = thunder, Frequency = 1
Word = warning, Frequency = 1
Word = france, Frequency = 1
Word = nurseand, Frequency = 1
Word = dinahs, Frequency = 1
Word = splendidly, Frequency = 1
Word = sneezed, Frequency = 1
Word = jackinthebox, Frequency = 1
Word = teathings, Frequency = 1
Word = muchnessdid, Frequency = 1
Word = knife, Frequency = 2
Word = piece, Frequency = 5
Word = parts, Frequency = 1
Word = burst, Frequency = 1
Word = carry, Frequency = 1
Word = party, Frequency = 8
Word = deep, Frequency = 7
Word = limbs, Frequency = 1
Word = tears, Frequency = 11
Word = shy, Frequency = 1
Word = goose, Frequency = 2
Word = trembling, Frequency = 6
Word = pattering, Frequency = 3
Word = dozing, Frequency = 1
Word = explained, Frequency = 1
Word = watching, Frequency = 3
Word = content, Frequency = 1
Word = riddle, Frequency = 1
Word = saythats, Frequency = 1
Word = rate, Frequency = 9
Word = indignantly, Frequency = 4
Word = trouble, Frequency = 6
Word = rats, Frequency = 1
Word = pardoned, Frequency = 1
Word = sir, Frequency = 7
Word = whiting, 
